LEVEL,code,name,full_name,cname,full_cname,lower_cname
1,1,Asia,,亚洲,,asia
1,2,Europe,,欧洲,,europe
1,3,Africa,,非洲,,africa
1,4,Oceania,,大洋洲,,oceania
1,5,Antarctica,,南极洲,,antarctica
1,6,North America,,北美洲,,north america
1,7,South America,,南美洲,,south america
2,0AIA,,,安圭拉,安圭拉,
2,0ALA,,,奥兰群岛,奥兰群岛,
2,0ASC,,,阿森松岛,阿森松岛,
2,0ASM,,,美属萨摩亚,美属萨摩亚,
2,0ATA,,,南极洲,南极洲,
2,0ATF,,,法属南部领地,法属南部领地,
2,0BVT,,,布韦岛,布韦岛,
2,0CCK,,,科科斯群岛,科科斯群岛,
2,0CXR,,,圣诞岛,圣诞岛,
2,0FLK,,,弗兰克群岛,弗兰克群岛,
2,0FRO,,,法罗群岛,法罗群岛,
2,0GGY,,,格恩西岛,格恩西岛,
2,0GLP,,,瓜德罗普,瓜德罗普,
2,0GUF,,,法属圭亚那,法属圭亚那,
2,0GUM,,,关岛,关岛,
2,0HMD,,,赫德和麦克唐纳群岛,赫德和麦克唐纳群岛,
2,0IMN,,,曼岛,曼岛,
2,0IOT,,,英属印度洋领地,英属印度洋领地,
2,0JEY,,,泽西岛,泽西岛,
2,0LCA,,,圣卢西亚,圣卢西亚,
2,0MNP,,,北马里亚纳群岛,北马里亚纳群岛,
2,0NFK,,,诺福克,诺福克,
2,0NIU,,,纽埃,纽埃,
2,0PCN,,,皮特凯恩,皮特凯恩,
2,0SCG,,,"塞尔维亚,黑山","塞尔维亚,黑山",
2,0SGS,,,南乔治亚和南桑德威奇群岛,南乔治亚和南桑德威奇群岛,
2,0SHN,,,圣赫勒拿,圣赫勒拿,
2,0SJM,,,斯瓦尔巴和扬马廷,斯瓦尔巴和扬马廷,
2,0TAA,,,特里斯坦达昆哈,特里斯坦达昆哈,
2,0TCA,,,特克斯和凯克特斯群岛,特克斯和凯克特斯群岛,
2,0TKL,,,托克劳,托克劳,
2,0UMI,,,美属外岛,美属外岛,
2,0VGB,,,维尔京群岛，英属,维尔京群岛，英属,
2,0VIR,,,维尔京群岛，美属,维尔京群岛，美属,
2,0WLF,,,瓦利斯和福图纳,瓦利斯和福图纳,
2,1AFG,Afghanistan,the Islamic Republic of Afghanistan,阿富汗,阿富汗斯坦伊斯兰共和国,the islamic republic of afghanistan
2,1ARE,United Arab Emirates,The United Arab Emirates,阿联酋,阿拉伯联合酋长国,the united arab emirates
2,1BGD,Bangladesh,People's Republic of Bangladesh,孟加拉国,孟加拉人民共和国,people's republic of bangladesh
2,1BHR,Bahrian,The Kingdom of Bahrain,巴林,巴林王国,the kingdom of bahrain
2,1BRN,Brunei,Brunei Darussalam,文莱,文莱达鲁萨兰国,brunei darussalam
2,1BTN,Bhutan,Kingdom of Bhutan,不丹,不丹王国,kingdom of bhutan
2,1CHN,China,People's Republic of China,中国,中华人民共和国,people's republic of china
2,1IDN,Indonesia,The Republic of Indonesia,印度尼西亚,印度尼西亚共和国,the republic of indonesia
2,1IND,India,The Republic of India,印度,印度共和国,the republic of india
2,1IRN,Iran,The Islamic Republic of Iran,伊朗,伊朗伊斯兰共和国,the islamic republic of iran
2,1IRQ,Iraq,Republic Of Iraq,伊拉克,伊拉克共和国,republic of iraq
2,1ISR,Israel,The State of Israel,以色列,以色列国,the state of israel
2,1JOR,Jordan,The Hashemite Kingdom of Jordan,约旦,约旦哈希姆王国,the hashemite kingdom of jordan
2,1JPN,Japan,Japan,日本,日本国,japan
2,1KAZ,Kazakhstan,The Republic of Kazakhstan,哈萨克斯坦,哈萨克斯坦共和国,the republic of kazakhstan
2,1KGZ,Kirghizia,The Kyrgyz Republic,吉尔吉斯斯坦,吉尔吉斯共和国,the kyrgyz republic
2,1KHM,Cambodia,Kingdom of Cambodia,柬埔寨,柬埔寨王国,kingdom of cambodia
2,1KOR,Korea,Republic of Korea,韩国,大韩民国,republic of korea
2,1KWT,Kuwait,The State of Kuwait,科威特,科威特国,the state of kuwait
2,1LAO,Laos,Lao People's Democratic Republic,老挝,老挝人民民主共和国,lao people's democratic republic
2,1LBN,Lebanon,The Republic of Lebanon,黎巴嫩,黎巴嫩共和国,the republic of lebanon
2,1LKA,Sri Lanka,The Democratic Socialist Republic of Sri Lanka,斯里兰卡,斯里兰卡民主社会主义共和国,the democratic socialist republic of sri lanka
2,1MDV,Maldives,The Republic of Maldives,马尔代夫,马尔代夫共和国,the republic of maldives
2,1MMR,Myanmar,Republic Of The Union Of Myanmar,缅甸,缅甸联邦共和国,republic of the union of myanmar
2,1MNG,Mongolia,Mongolia,蒙古,蒙古国,mongolia
2,1MYS,Malaysia,Malaysia,马来西亚,马来西亚联邦,malaysia
2,1NPL,Nepal,Federal Democratic Republic of Nepal,尼泊尔,尼泊尔联邦民主共和国,federal democratic republic of nepal
2,1OMN,Oman,Sultanate of Oman,阿曼,阿曼苏丹国,sultanate of oman
2,1PAK,Pakistan,the Islamic Republic of Pakistan,巴基斯坦,巴基斯坦伊斯兰共和国,the islamic republic of pakistan
2,1PHL,Philippines,Republic of the Philippines,菲律宾,菲律宾共和国,republic of the philippines
2,1PRK,"Korea,DPR",Democratic People's Republic of Korea,朝鲜,朝鲜民主主义人民共和国,democratic people's republic of korea
2,1PSE,Palestine,The State of Palestine,巴勒斯坦,巴勒斯坦国,the state of palestine
2,1QAT,Qatar,The State of Qatar,卡塔尔,卡塔尔国,the state of qatar
2,1SAU,Saudi Arabia,Kingdom of Saudi Arabia,沙特阿拉伯,沙特阿拉伯王国,kingdom of saudi arabia
2,1SGP,Singapore,Republic of Singapore,新加坡,新加坡共和国,republic of singapore
2,1SYR,Syrian,The Syrian Arab Republic,叙利亚,阿拉伯叙利亚共和国,the syrian arab republic
2,1THA,Thailand,Kingdom of Thailand,泰国,泰王国,kingdom of thailand
2,1TJK,Tajikistan,The Republic of Tajikistan,塔吉克斯坦,塔吉克斯坦共和国,the republic of tajikistan
2,1TKM,Turkmenistan,Turkmenistan,土库曼斯坦,土库曼斯坦,turkmenistan
2,1TLS,East Timor,Democratic Republic of East Timor,东帝汶,东帝汶民主共和国,democratic republic of east timor
2,1TUR,Turkey,The Republic of Turkey,土耳其,土耳其共和国,the republic of turkey
2,1UZB,Uzbekstan,The Republic of Uzbekistan,乌兹别克斯坦,乌兹别克斯坦共和国,the republic of uzbekistan
2,1VNM,Vietnam,Socialist Republic of Vietnam,越南,越南社会主义共和国,socialist republic of vietnam
2,1YEM,Yemen,The Republic of Yemen,也门,也门共和国,the republic of yemen
2,2ALB,Albania,The Republic of Albania,阿尔巴尼亚,阿尔巴尼亚共和国,the republic of albania
2,2AND,Andorra,The Principality of Andorra,安道尔,安道尔公国,the principality of andorra
2,2ARM,Armenia,The Republic of Armenia,亚美尼亚,亚美尼亚共和国,the republic of armenia
2,2AUT,Austria,The Republic Of Austria,奥地利,奥地利共和国,the republic of austria
2,2AZE,Azerbaijan,The Republic of Azerbaijan,阿塞拜疆,阿塞拜疆共和国,the republic of azerbaijan
2,2BEL,Belgium,The Kingdom Of Belgium,比利时,比利时王国,the kingdom of belgium
2,2BGR,Bulgaria,The Republic of Bulgaria,保加利亚,保加利亚共和国,the republic of bulgaria
2,2BIH,Bosnia Hercegovina,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,波斯尼亚和黑塞哥维那,bosnia and herzegovina
2,2BLR, Belarus,The Republic of Belarus,白俄罗斯,白俄罗斯共和国,the republic of belarus
2,2CHE,Switzerland,Swiss Confederation,瑞士,瑞士联邦,swiss confederation
2,2CYP,Cyprus,the Republic of Cyprus,塞浦路斯,塞浦路斯共和国,the republic of cyprus
2,2CZE,Czech,The Czech Republic,捷克,捷克共和国,the czech republic
2,2DEU,Germany,The Federal Republic of Germany,德国,德意志联邦共和国,the federal republic of germany
2,2DNK,Denmark,The Kingdom of Denmark,丹麦,丹麦王国,the kingdom of denmark
2,2ESP,Spain,The Kingdom of Spain,西班牙,西班牙王国,the kingdom of spain
2,2EST,Estonia,Republic of Estonia,爱沙尼亚,爱沙尼亚共和国,republic of estonia
2,2FIN,Finland,The Republic of Finland,芬兰,芬兰共和国,the republic of finland
2,2FRA,France,The French Republic,法国,法兰西共和国,the french republic
2,2GBR,United Kingdom,The United Kingdom of Great Britain and Northern Ireland,英国,大不列颠及北爱尔兰联合王国,the united kingdom of great britain and northern ireland
2,2GEO,Georgia,Georgia,格鲁吉亚,格鲁吉亚,georgia
2,2GIB,Gibraltar,Gibraltar,直布罗陀,直布罗陀,gibraltar
2,2GRC,Greece,The Hellenic Republic,希腊,希腊共和国,the hellenic republic
2,2HRV,Croatia,The Republic of Croatia,克罗地亚,克罗地亚共和国,the republic of croatia
2,2HUN,Hungary,Hungary,匈牙利,匈牙利,hungary
2,2IRL,Ireland,The Republic of Ireland,爱尔兰,爱尔兰共和国,the republic of ireland
2,2ISL,Iceland,The Republic of Iceland,冰岛,冰岛共和国,the republic of iceland
2,2ITA,Italy,The Republic of Italy,意大利,意大利共和国,the republic of italy
2,2LIE,Liechtenstein,Principality of Liechtenstein,列支敦士登,列支敦士登公国,principality of liechtenstein
2,2LTU,Lithuania,The Republic of Lithuania,立陶宛,立陶宛共和国,the republic of lithuania
2,2LUX,Luxembourg,The Grand Duchy of Luxembourg,卢森堡,卢森堡大公国,the grand duchy of luxembourg
